file,algorithm,raw_bytes,compressed_bytes,compression_ratio,throughput_MBps
data\user_data\D1\IMG_20240505_184443_536.jpg,zstd,3072,2946,1.0427698574338085,1.242182515035889
data\user_data\D1\IMG_20240505_184514_417.jpg,zstd,3072,2991,1.0270812437311936,43.53176815530118
data\user_data\D1\IMG_20240505_184517_524.jpg,zstd,3072,3003,1.022977022977023,59.66773993162085
data\user_data\D1\IMG_20240505_184520_085.jpg,zstd,3072,2991,1.0270812437311936,72.8777711976439
data\user_data\D1\IMG_20240505_185009_663.jpg,zstd,3072,2959,1.0381885772220345,67.66024993009701
data\user_data\D1\IMG_20240505_185010_443.jpg,zstd,3072,3022,1.016545334215751,69.25979623177398
data\user_data\D1\PXL_20251202_133232266.MP.jpg,zstd,3072,3025,1.0155371900826446,70.2562503402424
data\user_data\D1\PXL_20251202_203139659.TS-000.MP.jpg,zstd,3072,3025,1.0155371900826446,76.69339038293631
data\user_data\D1\PXL_20251205_175227735.MP.jpg,zstd,3072,2756,1.1146589259796806,62.33376514327751
data\user_data\D1\PXL_20251209_113357421.MP.jpg,zstd,3072,2965,1.036087689713322,65.54112040003125
data\user_data\D1\PXL_20251215_080505281.MP.jpg,zstd,3072,2815,1.0912966252220249,54.863062660438956
data\user_data\D1\PXL_20251221_124325528.MP.jpg,zstd,3072,3003,1.022977022977023,75.50740122326086
data\user_data\D1\PXL_20251225_090206837.MP.jpg,zstd,3072,2922,1.051334702258727,67.50434948216619
data\user_data\D1\PXL_20251225_090219896.MP.jpg,zstd,3072,2922,1.051334702258727,68.77195322075306
data\user_data\D1\PXL_20251225_090327132.MP.jpg,zstd,3072,2902,1.0585802894555478,69.75441650324646
data\user_data\D1\PXL_20251225_201550669.TS-000.MP.jpg,zstd,3072,2809,1.093627625489498,56.448712758023184
data\user_data\D1\PXL_20251226_065017813.MP.jpg,zstd,3072,2989,1.0277684844429575,67.19469402249807
data\user_data\D1\PXL_20251226_065523407.TS-000.MP.jpg,zstd,3072,2915,1.0538593481989709,67.97422115140482
data\user_data\D1\PXL_20251226_065644794.MP.jpg,zstd,3072,2982,1.0301810865191148,65.83568954511684
data\user_data\D1\PXL_20251226_070459627.MP.jpg,zstd,3072,2961,1.0374873353596759,65.83568954511684
data\user_data\D1\PXL_20251226_070701079.MP.jpg,zstd,3072,2905,1.0574870912220309,66.43275570097923
data\user_data\D1\PXL_20251227_164939125.MP.jpg,zstd,3072,2939,1.0452534875808097,76.69339038293631
data\user_data\D1\PXL_20251227_165051684.TS-000.MP.jpg,zstd,3072,2910,1.0556701030927835,53.953723306752195
data\user_data\D1\PXL_20260110_101310876.MP.jpg,zstd,3072,3006,1.0219560878243512,34.918802739853376
data\user_data\D1\PXL_20260116_161545226.MP.jpg,zstd,3072,3082,0.9967553536664504,51.12895289138831
data\user_data\D1\PXL_20260116_161547655.MP.jpg,zstd,3072,3082,0.9967553536664504,60.28160998009442
data\user_data\D1\PXL_20260122_172242999.MP.jpg,zstd,3072,3082,0.9967553536664504,61.80773793296542
data\user_data\D1\PXL_20260124_115240398.MP.jpg,zstd,3072,2941,1.0445426725603537,62.06963706544661
data\user_data\D1\PXL_20260125_130004906.MP.jpg,zstd,3072,2921,1.0516946251283807,51.39805484185889
data\user_data\D1\PXL_20260125_130006865.MP.jpg,zstd,3072,2863,1.073000349283968,45.84798969569883
data\user_data\D1\PXL_20260127_165207636.MP.jpg,zstd,3072,2882,1.0659264399722415,37.32088010031002
data\user_data\D1\PXL_20260129_110336318.MP.jpg,zstd,3072,2964,1.0364372469635628,34.62987428934711
data\user_data\D1\PXL_20260129_153525007.TS-000.MP.jpg,zstd,3072,2925,1.0502564102564103,37.22603592309484
data\user_data\D1\PXL_20260129_155503127.TS-000.MP.jpg,zstd,3072,2969,1.0346918154260694,35.34002194899492
data\user_data\D1\PXL_20260129_155506941.MP.jpg,zstd,3072,2977,1.0319113201209271,33.908413228496684
data\user_data\D1\PXL_20260129_155521565.MP.jpg,zstd,3072,2946,1.0427698574338085,32.088582754975704
data\user_data\D1\PXL_20260129_155547683.MP.jpg,zstd,3072,2939,1.0452534875808097,40.46528163573113
data\user_data\D1\PXL_20260129_155609801.MP.jpg,zstd,3072,2961,1.0374873353596759,44.32202467439833
data\user_data\D1\PXL_20260129_155616416.TS-000.MP.jpg,zstd,3072,2958,1.0385395537525355,44.322063704386004
data\user_data\D1\PXL_20260129_160048311.TS-000.MP.jpg,zstd,3072,3082,0.9967553536664504,45.35122213622221
data\user_data\D1\PXL_20260129_160249636.TS-000.MP.jpg,zstd,3072,3082,0.9967553536664504,50.68665734806585
data\user_data\D1\PXL_20260224_102656638.TS-000.MP.jpg,zstd,3072,2982,1.0301810865191148,32.66093761660183
data\user_data\D1\PXL_20260224_102700211.TS-000.MP.jpg,zstd,3072,2935,1.0466780238500852,33.329767149567154
data\user_data\D1\PXL_20260322_153048866.MP.jpg,zstd,3072,2823,1.0882040382571732,30.4541396730084
data\user_data\D1\PXL_20260322_153056438.TS-000.MP.jpg,zstd,3072,2935,1.0466780238500852,40.63365434995144
data\user_data\D1\PXL_20260405_100514278.jpg,zstd,3072,2676,1.147982062780269,25.542175180192547
data\user_data\D1\PXL_20260405_100643998.MP.jpg,zstd,3072,3082,0.9967553536664504,41.73346843268719
data\user_data\D1\PXL_20260405_100658032.MP.jpg,zstd,3072,2989,1.0277684844429575,48.34468158678321
data\user_data\D1\PXL_20260405_100703078.MP.jpg,zstd,3072,3082,0.9967553536664504,91.2674903984594
data\user_data\D1\PXL_20260405_100737151.MP.jpg,zstd,3072,2640,1.1636363636363636,46.57689794875876
data\user_data\D1\PXL_20260405_100812801.jpg,zstd,3072,2870,1.070383275261324,47.02547495762894
data\user_data\D1\PXL_20260405_100828429.MP.jpg,zstd,3072,2804,1.0955777460770328,48.5047645480618
data\user_data\D1\PXL_20260405_100830981.MP.jpg,zstd,3072,2941,1.0445426725603537,50.951060036868206
data\user_data\D1\PXL_20260405_100843422.MP.jpg,zstd,3072,2833,1.0843628662195552,47.405942832169806
data\user_data\D1\PXL_20260405_100902851.TS-000.MP.jpg,zstd,3072,2888,1.0637119113573408,55.48651136537768
data\user_data\D1\PXL_20260405_143125404.jpg,zstd,3072,2977,1.0319113201209271,64.81610240428573
data\user_data\D1\PXL_20260405_143129513.MP.jpg,zstd,3072,2981,1.0305266689030526,63.96697668389173
data\user_data\D1\PXL_20260405_151013056.PORTRAIT.jpg,zstd,3072,3016,1.0185676392572944,72.33793197611331
data\user_data\D1\PXL_20260405_151054883.jpg,zstd,3072,2729,1.1256870648589228,76.09577503118267
data\user_data\D1\PXL_20260405_151106866.jpg,zstd,3072,2750,1.1170909090909091,57.10893686452361
data\user_data\D1\PXL_20260411_083333686.jpg,zstd,3072,2769,1.1094257854821234,60.656105723517
data\user_data\D1\PXL_20260417_162219190.jpg,zstd,3072,2784,1.103448275862069,79.61109678766377
data\user_data\D1\PXL_20260417_162951211.jpg,zstd,3072,2504,1.2268370607028753,82.75958412738606
data\user_data\D1\PXL_20260417_162958034.TS-000.MP.jpg,zstd,3072,2716,1.1310751104565537,79.18076314982184
data\user_data\D1\PXL_20260417_163007624.MP.jpg,zstd,3072,2814,1.091684434968017,67.04092919175235
data\user_data\D1\PXL_20260417_163011369.MP.jpg,zstd,3072,2754,1.1154684095860568,75.12018089147259
data\user_data\D1\PXL_20260417_163029606.MP.jpg,zstd,3072,2794,1.0994989262705799,78.96733623796428
data\user_data\D1\PXL_20260417_163031383.MP.jpg,zstd,3072,2767,1.1102276834116371,79.61109678766377
data\user_data\D1\PXL_20260417_163039664.jpg,zstd,3072,2726,1.1269258987527513,72.33793197611331
data\user_data\D1\PXL_20260417_163048048.jpg,zstd,3072,2766,1.1106290672451193,79.61109678766377
data\user_data\D1\PXL_20260417_163051016.MP.jpg,zstd,3072,2704,1.136094674556213,73.42583547782854
data\user_data\D1\PXL_20260417_163052284.jpg,zstd,3072,2717,1.1306588148693413,73.79563398681312
data\user_data\D1\PXL_20260417_163115707.MP.jpg,zstd,3072,2659,1.1553215494546822,79.82802247736323
data\user_data\D1\PXL_20260417_163118596.MP.jpg,zstd,3072,2639,1.1640773020083366,81.1548147109045
data\user_data\D1\PXL_20260419_135036961.MP.jpg,zstd,3072,2989,1.0277684844429575,70.59493606970338
data\user_data\D1\IMG_20240505_184443_536.jpg,lz4,3072,3086,0.9954633830200907,37.178766913827566
data\user_data\D1\IMG_20240505_184514_417.jpg,lz4,3072,3091,0.9938531219670009,261.5786087363251
