algorithm,keygen_us,encaps_us,decaps_us
Kyber512,3711.9,5032.8,9094.3
Kyber512,3751.5,5079.1,8768.5
Kyber512,3788.1,8852.0,7967.3
Kyber512,3704.8,5911.4,7289.6
Kyber512,3697.1,5477.8,7231.9
Kyber512,3735.5,5211.7,7226.5
Kyber512,3678.6,6624.3,7881.9
Kyber512,3693.2,7294.2,7216.5
Kyber512,4237.7,5203.1,7233.5
Kyber512,3789.6,5062.9,7207.7
Kyber512,4550.6,5034.4,7213.6
Kyber512,4744.1,5110.9,7236.1
Kyber512,3926.5,5068.0,7226.5
Kyber512,4767.2,6732.7,7237.9
Kyber512,4537.8,6742.6,7216.3
Kyber512,4551.6,5067.4,7241.9
Kyber512,3879.8,5075.2,7220.2
Kyber512,3677.5,5068.9,7197.0
Kyber512,4837.7,5112.3,7207.5
Kyber512,3805.2,5029.1,7217.5
Kyber512,7670.5,5089.2,7441.5
Kyber512,5115.7,5069.4,9392.6
Kyber512,3705.7,5110.6,7595.7
Kyber512,3749.4,5073.1,14239.4
Kyber512,10734.4,5693.9,13599.0
Kyber512,11576.4,14712.1,7690.2
Kyber512,3720.5,5115.8,19234.2
Kyber512,3697.7,5068.6,10984.1
Kyber512,8235.5,5326.4,7264.9
Kyber512,3629.6,5249.6,7233.6
Kyber512,3657.6,8116.5,21463.0
Kyber512,10821.7,6311.7,8904.0
Kyber512,4080.0,5087.1,8173.7
Kyber512,3655.9,5071.2,10815.9
Kyber512,3680.6,5150.4,9727.7
Kyber512,3673.3,5693.2,8685.7
Kyber512,3662.5,5307.0,7909.1
Kyber512,3686.5,5468.3,7279.8
Kyber512,3690.4,6028.5,7271.0
Kyber512,3659.7,6727.9,9463.1
Kyber512,3660.6,6239.6,7258.6
Kyber512,3665.9,5080.1,7216.0
Kyber512,4686.7,5176.1,7239.6
Kyber512,4730.3,5077.9,7242.7
Kyber512,3848.0,5097.5,7243.8
Kyber512,3839.9,5088.1,7677.2
Kyber512,4175.6,5074.8,7309.4
Kyber512,3674.5,5093.1,8606.9
Kyber512,3716.6,5161.6,9793.5
Kyber512,6261.9,7986.6,10619.8
Kyber512,3762.2,10699.8,9468.9
Kyber512,6212.8,5940.2,8942.9
Kyber512,5173.5,6614.5,9680.1
Kyber512,3849.9,5912.6,13792.4
Kyber512,3979.1,5306.3,7661.1
Kyber512,7183.5,5422.8,7612.5
Kyber512,6317.9,5368.1,8846.1
Kyber512,3833.7,5331.5,11531.3
Kyber512,3930.5,15978.2,15378.6
Kyber512,3903.4,6629.8,7586.7
Kyber512,3761.9,9365.9,7809.9
Kyber512,5582.6,5126.2,7410.6
Kyber512,4062.4,5420.6,11839.5
Kyber512,3815.7,5172.9,8535.5
Kyber512,3860.6,5566.9,8030.4
Kyber512,3862.5,5340.3,8055.6
Kyber512,3843.5,6763.2,8697.0
Kyber512,4140.4,6254.1,7672.3
Kyber512,3872.8,7076.8,7620.9
Kyber512,5127.1,6653.4,7593.2
Kyber512,5161.1,5330.3,8087.0
Kyber512,4697.3,5336.2,9004.8
Kyber512,3870.8,5338.1,11967.8
Kyber512,3891.7,5483.1,9887.9
Kyber512,3683.9,6490.0,7320.3
Kyber512,3713.1,5667.0,7297.5
Kyber512,3687.1,8587.8,7304.7
Kyber512,4734.6,5077.7,7237.5
Kyber512,4987.1,5125.8,7366.3
Kyber512,4780.4,5082.2,8381.6
Kyber512,3710.2,5088.7,13014.3
Kyber512,11544.5,16129.6,22780.0
Kyber512,3710.1,5351.6,7260.4
Kyber512,3715.2,9130.4,7582.2
Kyber512,4891.7,8293.1,7372.0
Kyber512,4780.9,5146.1,7304.3
Kyber512,4771.9,5156.3,7268.1
Kyber512,7282.2,5091.3,8413.4
Kyber512,3786.9,5067.1,8394.9
Kyber512,3696.6,5069.7,7493.8
Kyber512,3707.1,5110.3,12497.9
Kyber512,3674.7,5119.5,7743.0
Kyber512,3700.7,5096.6,8538.5
Kyber512,3761.7,5173.2,7526.8
Kyber512,3688.6,5106.5,7740.4
Kyber512,3700.1,5079.0,9095.0
Kyber512,4909.5,5385.0,7272.0
Kyber512,3698.9,7871.4,7399.9
Kyber512,3693.5,7569.8,7324.8
Kyber512,4080.6,5815.6,7277.0
Kyber512,3868.7,5098.2,7293.9
Kyber512,3763.8,6490.3,7323.8
Kyber512,3812.9,5092.8,7242.7
Kyber512,5090.1,5167.3,7292.3
Kyber512,6113.9,5544.8,9731.0
Kyber512,3759.2,5073.2,11401.1
Kyber512,4420.9,5679.9,10592.4
Kyber512,3730.1,5241.3,7240.3
Kyber512,3716.7,7202.3,7287.5
Kyber512,3736.7,6334.9,7306.5
Kyber512,4828.1,5588.7,8673.1
Kyber512,4173.1,7526.7,7342.5
Kyber512,7141.0,6150.3,9053.4
Kyber512,3715.9,5131.2,16636.8
Kyber512,9482.9,5104.0,7460.0
Kyber512,4128.8,5186.0,8380.5
Kyber512,3988.9,5114.1,7867.8
Kyber512,4395.2,5074.1,7685.0
Kyber512,3974.5,5153.4,8870.9
Kyber512,3713.9,5146.1,9749.4
Kyber512,3760.5,6243.6,7311.0
Kyber512,5105.7,7681.8,8643.9
Kyber512,4849.5,5607.2,7249.3
Kyber512,5133.8,5533.8,7223.0
Kyber512,5297.5,5528.1,8669.7
Kyber512,6665.9,5078.5,8471.2
Kyber512,3719.0,5143.9,7937.6
