path,kind,size_bytes,payload_bytes_processed,l_io_read_ms,l_io_write_ms,l_kem_ms,l_aes_ms,l_total_ms,kem_ok,aes_ok,kem_ciphertext_bytes,aes_ciphertext_bytes,dataset_id,run_id,file_index
data\user_data\D1\Breaking_Mindset_Barriers.mp4,binaries,42641221,42641221,59.8134,0.0,36.9073,62.5752,159.2959,True,True,1568,42641237,D1,D1_r1,1
data\user_data\D1\IMG_20240505_184443_536.jpg,images,7167627,7167627,8.8398,0.0,34.0136,8.6336,51.486999999999995,True,True,1568,7167643,D1,D1_r1,2
data\user_data\D1\IMG_20240505_184514_417.jpg,images,7006259,7006259,7.6282,0.0,36.2334,9.3943,53.255900000000004,True,True,1568,7006275,D1,D1_r1,3
data\user_data\D1\IMG_20240505_184517_524.jpg,images,6945522,6945522,7.7141,0.0,50.0188,8.4375,66.1704,True,True,1568,6945538,D1,D1_r1,4
data\user_data\D1\IMG_20240505_184520_085.jpg,images,7141616,7141616,7.3801,0.0,33.9382,9.1698,50.4881,True,True,1568,7141632,D1,D1_r1,5
data\user_data\D1\IMG_20240505_185009_663.jpg,images,6424705,6424705,7.0728,0.0,36.8233,8.0968,51.992900000000006,True,True,1568,6424721,D1,D1_r1,6
data\user_data\D1\IMG_20240505_185010_443.jpg,images,6896621,6896621,8.23,0.0,35.4632,8.6272,52.32040000000001,True,True,1568,6896637,D1,D1_r1,7
data\user_data\D1\PXL_20251202_133232266.MP.jpg,images,6488712,6488712,7.0704,0.0,43.4692,9.0037,59.5433,True,True,1568,6488728,D1,D1_r1,8
data\user_data\D1\PXL_20251202_203139659.TS-000.MP.jpg,images,6309281,6309281,7.5277,0.0,37.9752,7.7506,53.2535,True,True,1568,6309297,D1,D1_r1,9
data\user_data\D1\PXL_20251205_175227735.MP.jpg,images,6876895,6876895,7.8391,0.0,40.9293,9.5263,58.2947,True,True,1568,6876911,D1,D1_r1,10
data\user_data\D1\PXL_20251209_113357421.MP.jpg,images,6814479,6814479,8.0861,0.0,49.5638,9.6257,67.2756,True,True,1568,6814495,D1,D1_r1,11
data\user_data\D1\PXL_20251215_080505281.MP.jpg,images,6307834,6307834,7.6797,0.0,43.436,8.2036,59.319300000000005,True,True,1568,6307850,D1,D1_r1,12
data\user_data\D1\PXL_20251221_124325528.MP.jpg,images,6476575,6476575,7.3343,0.0,39.2581,8.5389,55.131299999999996,True,True,1568,6476591,D1,D1_r1,13
data\user_data\D1\PXL_20251221_192530116.mp4,binaries,6592986,6592986,7.5949,0.0,37.7499,8.7083,54.0531,True,True,1568,6593002,D1,D1_r1,14
data\user_data\D1\PXL_20251225_090206837.MP.jpg,images,7014741,7014741,7.5601,0.0,38.9896,9.0983,55.648,True,True,1568,7014757,D1,D1_r1,15
data\user_data\D1\PXL_20251225_090219896.MP.jpg,images,6673723,6673723,9.0102,0.0,77.3694,10.987,97.36659999999999,True,True,1568,6673739,D1,D1_r1,16
data\user_data\D1\PXL_20251225_090327132.MP.jpg,images,6568694,6568694,9.6436,0.0,81.4275,12.8339,103.905,True,True,1568,6568710,D1,D1_r1,17
data\user_data\D1\PXL_20251225_201550669.TS-000.MP.jpg,images,6539954,6539954,14.0002,0.0,85.6774,10.2854,109.96300000000001,True,True,1568,6539970,D1,D1_r1,18
